A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
Q9H9K5	0	chr4	-	53608720	53617592	53612110,53617236	53617097,53617510
Q9BPW5	0	chr4	+	53728484	53733002	53728816,53729491,53730721	53729435,53730645,53731502
Q8WU76	0	chr4	-	53739149	54232228	53740228,53752033,53773758,53787037,54011749,54140168,54179930,54218933	53751914,53773624,53786892,54011500,54139993,54179803,54218765,54231271
Q6UN15	0	chr4	+	54243808	54327029	54244090,54245284,54245431,54248502,54250043,54256040,54256795,54257306,54257665,54266006,54280889,54292132,54294350,54308874,54310270,54319300,54324957	54245240,54245392,54248445,54249940,54255976,54256688,54257176,54257597,54265897,54280782,54292039,54294194,54308820,54310215,54319087,54324820,54325469
A0A0B4J203	0	chr4	+	54244006	55161439	54244090,54245284,54245431,54248502,54250043,54256040,54256795,54257306,54257665,54266006,54280889,54292132,55141140,55143659,55144173,55144682,55146649,55151653,55152130,55153708,55155065,55155281,55156721	54245240,54245392,54248445,54249940,54255976,54256688,54257176,54257597,54265897,54280782,54292039,55141092,55143555,55144063,55144529,55146483,55151538,55152008,55153597,55154966,55155176,55156480,55161292
Q8TBB1	0	chr4	-	54325468	54457653	54327209,54327760,54343148,54344909,54348021,54362561,54365010,54373636,54374394,54440255	54327602,54342920,54344732,54347887,54362190,54364808,54373484,54374153,54439790,54457555
Q9UKJ5	0	chr4	-	54875956	54930772	54876312,54880063,54880286,54915277,54915472	54880004,54880230,54915122,54915418,54930349
Q9BZM3	0	chr4	+	54966330	54968665	54967085	54967749
P16234	0	chr4	+	55095460	55164412	55095582,55124984,55127579,55130094,55131216,55133627,55133908,55136915,55138687,55139897,55140792,55141140,55143659,55144173,55144682,55146649,55151653,55152130,55153708,55155065,55155281,55156721	55124924,55127262,55129834,55131086,55133456,55133719,55136800,55138561,55139704,55140698,55141008,55143555,55144063,55144529,55146483,55151538,55152008,55153597,55154966,55155176,55156480,55161292
P10721	0	chr4	+	55524124	55606881	55524248,55561947,55564731,55565932,55570058,55573453,55575705,55589864,55592216,55593490,55593708,55594093,55594287,55595651,55597585,55598164,55599358,55602775,55602986,55603446	55561678,55564450,55565796,55569890,55573264,55575590,55589750,55592023,55593384,55593582,55593989,55594177,55595501,55597494,55598037,55599236,55602664,55602887,55603341,55604595
P35968	0	chr4	-	55944648	55991762	55946330,55948208,55948802,55953925,55955140,55955640,55955969,55956245,55958881,55961122,55961832,55962509,55963933,55964439,55964970,55968195,55968675,55971151,55972107,55972977,55974060,55976733,55976935,55979648,55980432,55981209,55981578,55984967,55987357	55948123,55948703,55953774,55955035,55955541,55955858,55956123,55958784,55960969,55961744,55962396,55963829,55964304,55964864,55968064,55968529,55970810,55971999,55972854,55973904,55976570,55976821,55979471,55980293,55981041,55981448,55984771,55987264,55991394
A0A7P0T9P9	0	chr4	+	56212395	56254306	56212724,56225655,56230438,56237984,56249147	56225513,56230241,56237841,56249084,56252510
Q9H8P0	0	chr4	+	56212409	56239267	56212724,56225655,56230438,56233889	56225513,56230241,56233755,56235999
Q9HC07	0	chr4	+	56262124	56292342	56262563,56278006,56283414,56284152,56290810	56277781,56283239,56283970,56290705,56291543
O15516	0	chr4	-	56294070	56413076	56301761,56304704,56308801,56310063,56310952,56315035,56315663,56316399,56319296,56319991,56322170,56322467,56325177,56325428,56329972,56336973,56342221,56345130,56345866,56348995,56355632,56376232	56304449,56308599,56309854,56310800,56314946,56315563,56316258,56319221,56319844,56322064,56322385,56325059,56325315,56329852,56336884,56342130,56344982,56345807,56348906,56355541,56376079,56412949
Q8N4E4	0	chr4	-	56422686	56458412	56422878,56428779,56436028,56447078,56448404	56428571,56435885,56446988,56448284,56458271
P48645	0	chr4	-	56461398	56502465	56461578,56465348,56466742,56471516,56473515,56473633,56475346,56482552,56496627	56465309,56466689,56471442,56473465,56473604,56475287,56482505,56496569,56502248
A0A1B0GW35	0	chr4	+	56685956	56703655	56686313,56697630	56697500,56703251
Q9NV70	0	chr4	+	56719814	56771252	56720119,56724613,56726707,56730552,56734689,56737071,56737399,56738124,56744232,56750094,56755098,56756552,56757588,56758877,56759946,56763066,56766050,56768704	56724480,56726577,56730393,56734502,56736844,56737267,56738015,56744083,56749989,56755054,56756389,56757481,56758801,56759718,56762883,56765851,56768510,56770509
Q66GS9	0	chr4	+	56815111	56899527	56815225,56818409,56819441,56820549,56823530,56825932,56830568,56832025,56835294,56837574,56841135,56846461,56847545,56851524,56858251,56865583,56865811,56874548,56876069,56877688,56878151,56884023,56885721,56886946,56890780	56818252,56819251,56820382,56823389,56825848,56830440,56831810,56835229,56837436,56840912,56846309,56847393,56851447,56858100,56865468,56865657,56874493,56875901,56877578,56877966,56883814,56885519,56886842,56890667,56897526
Q6ZU35	0	chr4	+	56915264	57196775	56915465,57045596,57138658,57164515,57173865,57176900,57179545,57182855,57189733,57190432	57045450,57138487,57164380,57173701,57176832,57179363,57180206,57189543,57190270,57193810
Q4L235	0	chr4	-	57204456	57253657	57204957,57209132,57209850,57211456,57216224,57217623,57219762,57220377,57220977,57221589,57237809,57244630,57248763,57250507	57209001,57209728,57211293,57215429,57217508,57219570,57220205,57220871,57221348,57237617,57244314,57248643,57250236,57253528
Q06203	0	chr4	-	57259528	57301781	57261714,57262905,57265566,57267077,57267647,57268347,57269351,57269567,57272867,57273882	57262785,57265345,57266950,57267496,57268275,57269206,57269455,57272661,57273816,57301516
P22234	0	chr4	+	57302426	57330744	57302494,57308026,57313039,57314763,57314989,57316868,57318218,57319927	57307829,57312861,57314584,57314876,57316785,57318038,57319769,57325538
V9HWK0	0	chr4	+	57333783	57369847	57333910,57335939,57338009,57340363,57340557,57342868,57344669,57344815,57349436,57351030,57352563,57354179,57355649,57356602,57356811,57357734,57361560,57366861	57335819,57337886,57340220,57340446,57342837,57344545,57344758,57349305,57350902,57352491,57354115,57355554,57356499,57356734,57357597,57361523,57366702,57367850
A0A1W2PS79	0	chr4	+	57371957	57390619	57372307,57377513,57385019	57377351,57384844,57389863
P0DJG4	0	chr4	+	57396772	57469673	57397335,57414989,57418780,57425686,57441808,57450777,57462797,57467275	57414956,57418715,57425558,57441671,57450663,57462666,57467100,57469375
Q9BPY8	0	chr4	-	57514164	57547462	57514963,57522178,57524065	57522023,57523941,57547421
D6RI10	0	chr4	-	57676027	57687867	57676350,57677960,57686745	57677851,57686702,57687624
Q13127	0	chr4	+	57774066	57802010	57774379,57777702,57786036	57776796,57785953,57796007
Q8NC60	0	chr4	-	57829516	57843772	57829827,57830692,57832902,57834681,57839519,57840188	57830572,57832786,57834550,57839314,57840024,57842608
P30876	0	chr4	+	57845062	57897324	57845170,57852592,57857064,57860682,57861032,57861575,57865947,57871608,57871885,57873168,57876670,57877053,57877266,57881822,57883407,57883894,57887161,57888412,57889746,57889917,57890278,57891165,57891703,57896565	57852520,57856914,57860570,57860813,57861417,57865783,57871412,57871766,57872982,57876527,57876914,57877155,57881668,57883209,57883726,57887065,57888318,57889496,57889828,57890171,57891052,57891543,57896370,57897065
Q16270	0	chr4	-	57896939	57976551	57897502,57898718,57899477,57907099	57898592,57899361,57906990,57976043
A0A804HKL8	0	chr4	+	62066044	62944053	62067483,62248907,62363066,62383236,62453158,62542653,62596354,62599272,62679607,62758676,62761552,62775463,62778475,62800741,62801763,62812840,62813994,62845490,62849321,62862075,62863983,62894599,62897328,62903574,62910267,62933901	62248842,62362839,62383033,62452945,62542544,62596340,62598472,62679527,62758374,62761449,62775278,62778437,62800558,62801641,62812632,62813818,62845281,62849101,62862009,62863892,62894573,62897160,62903449,62910171,62933884,62935827
Q5HYJ1	0	chr4	-	65143420	65275168	65145917,65146804,65147277,65155485,65165735,65170956,65175649,65180481,65188510,65194274,65240941	65146759,65147192,65155428,65165692,65170884,65175544,65180366,65188407,65194230,65240890,65274836
B7ZKW7	0	chr4	-	66185285	66536207	66189937,66197846,66201843,66213921,66217316,66218821,66230920,66231775,66233142,66270197,66280161,66286283,66356430,66361261,66468022,66509145	66197691,66201650,66213772,66217107,66218760,66230735,66231650,66233075,66270092,66280002,66286159,66356095,66361106,66467359,66509081,66535280
Q03188	0	chr4	-	68334480	68411221	68338393,68340696,68355839,68357993,68358715,68359706,68360930,68371002,68372652,68374823,68378287,68380405,68384086,68385220,68396632,68405652,68406768,68409913	68340606,68355685,68357898,68358587,68359602,68360877,68370923,68372506,68374532,68378120,68379792,68383874,68384935,68396533,68405558,68406698,68409867,68411056
Q9ULZ2	0	chr4	+	68424445	68473055	68424647,68436873,68441216,68442977,68447189,68449420,68456671,68459074	68436802,68441103,68442921,68447023,68449292,68456602,68458978,68472014
A1LT96	0	chr4	-	68478370	68566873	68484850,68488643,68488940,68489971,68490905,68492195,68494860,68496253,68497489,68497626,68499191,68500040,68500236,68501276,68504842,68506946,68510496,68511734,68512509,68514929,68527973,68528933,68529665,68531010,68534392,68536310,68539495,68543440,68544251,68547309,68547931,68562425	68488549,68488853,68489844,68490712,68492078,68494789,68496184,68497426,68497575,68499063,68499960,68500147,68501171,68504661,68506869,68510416,68511656,68512442,68514786,68527907,68528857,68529603,68530907,68534269,68536188,68539415,68543329,68544157,68547281,68547837,68562363,68566767
P30968	0	chr4	-	68602836	68620106	68606442,68610505	68610286,68619532
O60235	0	chr4	-	68686594	68749720	68688216,68691592,68693238,68699099,68700839,68704047,68708343,68719904,68725396	68691450,68692979,68698922,68700801,68703890,68708276,68719786,68725275,68749644
Q6ZMR5	0	chr4	-	68775113	68829211	68777221,68780448,68784950,68788644,68789884,68795758,68797778,68810355,68812289	68780306,68784691,68788473,68789846,68795598,68797711,68810237,68812168,68829101
Q6ZWK6	0	chr4	-	68918916	68995587	68919785,68925186,68930662,68934537,68935725,68938204,68939727,68956359,68964756	68925044,68930403,68934336,68935687,68938041,68939660,68956241,68964605,68995528
Q86T26	0	chr4	-	69092371	69111412	69093790,69094602,69095234,69097098,69098134,69100341,69101787,69101984,69107522	69094460,69094975,69096921,69098096,69100181,69101720,69101869,69107407,69111269
Q96MU7	0	chr4	-	69176105	69215808	69180041,69182166,69184299,69184447,69184580,69185923,69188633,69189941,69195837,69196028,69197915,69198565,69199115,69203168,69203618,69204102	69182032,69184237,69184408,69184544,69185841,69188467,69189857,69195720,69195920,69197821,69198512,69199026,69202745,69203290,69204001,69215444
Q9UL52	0	chr4	+	69313181	69363322	69313241,69327663,69332470,69334664,69337341,69340479,69342156,69343346,69344709	69327539,69332349,69334597,69337178,69340441,69341979,69343087,69344567,69362361
O75795	0	chr4	-	69402891	69442040	69403622,69416614,69417629,69426386,69431438,69434266	69416395,69417542,69426255,69431290,69433479,69441669
P54855	0	chr4	-	69512315	69536370	69513101,69519974,69520900,69528857,69533906	69519755,69520813,69528726,69533758,69535613
P36537	0	chr4	+	69681712	69697741	69682455,69683895,69688120,69692215,69693266	69683747,69687989,69692128,69693047,69696318
Q6UWM9	0	chr4	-	69794181	69817522	69795810,69796483,69796960,69798477,69811172	69796264,69796873,69798346,69811024,69816764
P16662	0	chr4	+	69962192	69978705	69962959,69964406,69968656,69972980,69974040	69964258,69968525,69972893,69973821,69978175
O75310	0	chr4	-	70065669	70080466	70066437,70070367,70071285,70074200,70078439	70070148,70071198,70074069,70078291,70079720
Q9BY64	0	chr4	+	70146193	70160768	70146939,70148380,70152601,70155470,70156529	70148232,70152470,70155383,70156310,70160248
P06133	0	chr4	-	70345883	70361623	70346628,70351145,70352414,70355288,70359559	70350926,70352327,70355157,70359411,70360859
P0DTE5	0	chr4	-	70454135	70505360	70455369,70460414,70460967,70462099,70465112	70460195,70460880,70461968,70464964,70504617
P0DTE4	0	chr4	-	70454135	70518965	70455369,70460414,70460967,70465112,70501540,70513416	70460195,70460880,70464964,70501409,70512648,70518906
O43704	0	chr4	-	70586885	70626338	70592918,70596399,70599225,70599982,70615536,70620516,70620979	70596219,70599131,70599856,70615439,70620388,70620788,70626177
Q53X91	0	chr4	-	70706930	70725863	70707824,70710059,70713510,70715281,70720032,70721144,70723371	70709879,70713416,70715155,70719935,70721019,70723218,70725767
P47710	0	chr4	+	70796786	70812292	70796835,70798324,70799962,70800428,70801667,70802197,70802325,70802862,70803541,70804926,70805762,70806778,70807781,70808295,70810722	70798262,70799930,70800408,70801644,70802174,70802284,70802839,70803518,70804894,70805739,70806737,70807764,70808254,70810568,70811914
W5RWE1	0	chr4	-	70820974	70831446	70821310,70822073,70823522,70824671,70824787,70825797,70826725	70822032,70822992,70824627,70824767,70825771,70826663,70831399
P02808	0	chr4	+	70861683	70868287	70861742,70864205,70865404,70865526,70866699	70864140,70865384,70865497,70866580,70867906
P15516	0	chr4	+	70894176	70902255	70894233,70896508,70897716,70897824,70898970	70896445,70897696,70897795,70898884,70901984
P15515	0	chr4	+	70916155	70924565	70916212,70918844,70920059,70920167,70921319	70918781,70920039,70920138,70921215,70924297
Q6MZM9	0	chr4	+	71019954	71032326	71020143,71021794,71024617,71027347	71021771,71024045,71027303,71028412
A1E959	0	chr4	+	71061442	71070293	71061510,71062311,71062450,71063038,71063874,71064343,71066318,71067218,71068046,71068634,71068931	71062246,71062409,71062991,71063641,71064296,71066214,71067171,71067975,71068473,71068873,71069892
Q8NFU4	0	chr4	+	71091841	71100969	71091899,71096968,71098743,71099932	71096912,71098711,71099737,71100802
P07498	0	chr4	+	71108314	71117149	71108382,71110590,71113567,71115210	71110529,71113535,71114715,71116979
Q96KC9	0	chr4	+	71200698	71202833	71202063	71202683
Q99954	0	chr4	+	71226477	71232875	71226559,71227886	71227819,71232361
P02814	0	chr4	+	71248848	71255961	71248929,71250281	71250214,71255380
Q99935	0	chr4	+	71263657	71275912	71263757,71265053	71264988,71275097
Q8TAX7	0	chr4	+	71337914	71348714	71338008,71339792	71339724,71346516
Q6UX39	0	chr4	+	71384286	71398460	71384371,71384548,71388555,71389650,71390678,71394475,71394927,71397017	71384480,71388472,71389585,71390589,71394440,71394901,71396756,71398172
Q9NP70	0	chr4	+	71457973	71473005	71458090,71459112,71462766,71464120,71465363,71467371,71468379,71468553,71468727,71469036,71469177,71469638	71459044,71462716,71464073,71465253,71467135,71468341,71468515,71468689,71468977,71469133,71469594,71471902
Q9NRM1	0	chr4	+	71494461	71512541	71494681,71495271,71497455,71497610,71498409,71500285,71501611,71503560	71495158,71497387,71497566,71498368,71500025,71501549,71503507,71507732
P01591	0	chr4	-	71521258	71532225	71522256,71523008,71527932	71522928,71527809,71532144
Q9NQZ2	0	chr4	+	71554249	71556268		
Q7L099	0	chr4	+	71587681	71674336	71588468,71628409,71629386,71630293,71634378,71639289,71640950,71644155,71648900,71650596,71654690,71655309,71659621,71660611,71665922,71668700,71670133	71628236,71629269,71630192,71634255,71639228,71640885,71644086,71648808,71650513,71654523,71655212,71659502,71660512,71665858,71668673,71670065,71672233
Q12849	0	chr4	-	71681500	71705607	71686578,71690085,71691148,71691962,71693753,71697391,71698167,71698990,71702031	71690011,71691013,71691841,71693569,71697256,71698024,71698835,71701875,71705188
Q7L9L4	0	chr4	+	71768086	71853885	71768267,71824757,71835741,71841003,71845008	71824591,71835648,71840870,71844845,71847697
P27707	0	chr4	+	71859366	71896631	71859643,71863899,71888277,71889423,71891648,71892472	71863784,71888084,71889276,71891533,71892382,71895069
Q9Y6R1	0	chr4	+	72052976	72437800	72053118,72102366,72121116,72205222,72215789,72222904,72263370,72306490,72313450,72316260,72317018,72319386,72332294,72338687,72352735,72363409,72397892,72400105,72412245,72413437,72420925,72423602,72425971,72429606,72432800	72102293,72120937,72205087,72215629,72222725,72263294,72306333,72313363,72316106,72316905,72319212,72332161,72338416,72352665,72363218,72397779,72399944,72412067,72413365,72420857,72423429,72425810,72429510,72432721,72433505
P02774	0	chr4	-	72607414	72649796	72607587,72611922,72618367,72620225,72620824,72622631,72623888,72629219,72629653,72631360,72634150,72635117	72611868,72618235,72620128,72620695,72622429,72623759,72629125,72629521,72631149,72634018,72635048,72649678
Q9Y5X5	0	chr4	+	72897717	73014022	72897917,72994636,73003856	72994302,73003757,73012695
O15072	0	chr4	-	73146686	73434938	73149421,73154585,73156779,73161503,73164159,73169797,73171784,73175237,73176898,73178183,73179539,73181688,73184421,73185192,73185680,73186587,73188814,73205410,73280688,73414601,73433118	73154468,73156572,73161371,73163994,73169634,73171704,73175114,73176765,73178008,73179394,73181575,73184289,73185049,73185575,73186431,73188731,73205211,73280532,73414195,73433091,73434411
B7ZL88	0	chr4	-	73918079	73935433	73924004,73927637,73930619,73931130,73933846	73927530,73930495,73930967,73933746,73935034
O75179	0	chr4	-	73939093	74124515	73942007,73942821,73943250,73944607,73951163,73958017,73959945,73962989,73964237,73968264,73979625,73981633,73984567,73986054,73986811,73987476,73990775,73991029,74000982,74006000,74007560,74008102,74008484,74010549,74012590,74013149,74014767,74017241,74019830,74021495,74021883,74027065,74043250	73942657,73943072,73944359,73950966,73956384,73959796,73962834,73963790,73968093,73979509,73981538,73984405,73985879,73986598,73987334,73990630,73990918,74000834,74005248,74007458,74007959,74008357,74010462,74012481,74012958,74014530,74017147,74019597,74021348,74021736,74026909,74043097,74123993
P02768	0	chr4	+	74270004	74287199	74270123,74270890,74272478,74274522,74275204,74276126,74277842,74279351,74280884,74282070,74283386,74284028,74285356,74286038	74270833,74272346,74274311,74275072,74276029,74277713,74279137,74280752,74281973,74283248,74283805,74285224,74285971,74286809
P02771	0	chr4	+	74301938	74321891	74302064,74302928,74304023,74306530,74308145,74309161,74310839,74313393,74315184,74315850,74316470,74318341,74319614,74321007	74302877,74303891,74306319,74308013,74309064,74310710,74313179,74315052,74315753,74316332,74318118,74319482,74320953,74321348
P43652	0	chr4	+	74347462	74369718	74347580,74349706,74350107,74351790,74352816,74353538,74354476,74357803,74361149,74363466,74364963,74365944,74367636,74368827	74349658,74349975,74351579,74352684,74353441,74354347,74357589,74361017,74363369,74364831,74365721,74367504,74368767,74369593
Q6ZTQ3	0	chr4	-	74437267	74486153	74442027,74442224,74442448,74447585,74448007,74451081,74453651,74459310,74464435,74477546	74442127,74442330,74447534,74447906,74450897,74453557,74459168,74464357,74477448,74486005
P10145	0	chr4	+	74606286	74609433	74606439,74607394,74607749	74607259,74607666,74608166
P80162	0	chr4	+	74702395	74704477	74702576,74702813,74703003	74702681,74702920,74703340
P10720	0	chr4	+	74719013	74720200	74719179,74719626	74719500,74719752
P09341	0	chr4	+	74735110	74737025	74735287,74735509,74735706	74735386,74735623,74736238
P02776	0	chr4	-	74846528	74847744	74847008,74847260	74847134,74847580
A0A8I5KW61	0	chr4	-	74846791	74853877	74847008,74847260,74853091,74853369	74847134,74853009,74853234,74853673
P02775	0	chr4	-	74852156	74853907	74853091,74853369	74853234,74853673
Q6I9S7	0	chr4	-	74861359	74864394	74863372,74863812,74864055	74863729,74863923,74864190
Q6LD32	0	chr4	-	74902306	74904406	74902994,74903893,74904130	74903810,74904007,74904229
P19875	0	chr4	-	74962757	74964912	74963488,74964401,74964639	74964318,74964516,74964738
Q9H903	0	chr4	+	75023835	75168816	75023998,75040407,75041120,75065663,75067087,75091111,75147267	75040223,75040998,75065511,75066980,75091019,75147142,75167414
Q6UW88	0	chr4	+	75174187	75182506	75174293,75174899,75178022,75178887	75174810,75177902,75178735,75180297
O14944	0	chr4	+	75230862	75254466	75231092,75245251,75246854,75248511	75245165,75246731,75248362,75250444
P15514	0	chr4	+	75310853	75320722	75311123,75312499,75314965,75316249,75318372	75312251,75314764,75316097,75318261,75320476
Q5U026	0	chr4	+	75480629	75490486	75480899,75482254,75484724,75486006,75488130	75482006,75484523,75485854,75488019,75490235
P35070	0	chr4	-	75669969	75719733	75671885,75673359,75675929,75681186,75695366	75673250,75675783,75681069,75695268,75719472
Q6UWI2	0	chr4	+	75858326	75975323	75858580,75938360,75959171	75937635,75959093,75971373
Q96PM5	0	chr4	-	76404243	76439613	76407876,76415911,76416847,76416992,76417143,76419389,76434145,76434506	76415791,76416821,76416934,76417099,76419311,76434030,76434387,76439407
Q8TBB0	0	chr4	+	76439683	76455236	76439730,76440742,76442189,76447071	76440643,76441982,76446946,76452170
Q17RF5	0	chr4	+	76481276	76490027	76481359	76489324
J3KNE8	0	chr4	-	76501706	76555712	76504388,76507108,76517109,76517453,76521524,76522420,76523396,76525553,76529140,76530818,76532545,76539633,76551201	76507020,76517003,76517330,76521431,76522119,76523261,76525465,76529001,76530706,76532367,76539439,76551005,76555226
Q9UN86	0	chr4	-	76567970	76598595	76570886,76571640,76572341,76573925,76579265,76580430,76581054,76582198,76582914,76584108,76587233	76571522,76572213,76573823,76579167,76580250,76580952,76582108,76582741,76584027,76587115,76598392
O60763	0	chr4	+	76649761	76735439	76650069,76678726,76691692,76692077,76692290,76695949,76704011,76708355,76711391,76711950,76715054,76720885,76721622,76721952,76722353,76725425,76726456,76727725,76730204,76731692,76733528	76678650,76691592,76691975,76692235,76695829,76703833,76708215,76711303,76711796,76714843,76720775,76721504,76721771,76722232,76725287,76726293,76727639,76730106,76731585,76733313,76734359
O14830	0	chr4	-	76781020	76823605	76782073,76785680,76787505,76788572,76793320,76794465,76797826,76804228,76804355,76805913,76808051,76809481,76811285,76812858,76813131,76817536	76785593,76787342,76788466,76793178,76794280,76797440,76804079,76804319,76805747,76808005,76809367,76811110,76812801,76813004,76817424,76823383
Q02083	0	chr4	-	76834813	76862166	76835491,76836138,76839942,76841128,76841953,76842276,76846964,76852457,76857388,76861318	76836021,76839914,76841062,76841891,76842104,76846888,76852367,76857262,76861154,76861897
Q9NVU7	0	chr4	-	76871068	76912098	76871950,76877289,76878562,76878861,76879094,76881345,76882257,76882461,76885364,76886975,76888487,76890552,76891531,76892611,76894544,76895286,76896997,76897148,76898909,76902623,76903190	76877128,76878478,76878671,76879000,76881219,76882181,76882364,76885288,76886917,76888430,76890449,76891462,76892510,76894470,76895229,76896897,76897077,76898799,76902525,76903086,76911905
Q07325	0	chr4	-	76922428	76928662	76924852,76926046,76927427	76925962,76927301,76928539
P02778	0	chr4	-	76942271	76944650	76943101,76943608,76943970	76943519,76943844,76944524
O14625	0	chr4	-	76954835	76957223	76955969,76956272,76956495	76956200,76956369,76957080
Q13508	0	chr4	+	76995862	77033939	76995972,76997111,77003688,77018829,77020140,77021473,77021977,77022172,77025122,77025782,77028946	76997034,77002977,77018797,77020108,77021444,77021948,77022143,77025090,77025750,77028914,77033539
Q7Z3B4	0	chr4	-	77035817	77069550	77036647,77038927,77039347,77045909,77051902,77052437,77053872,77055515,77057565,77065445,77065626	77038817,77039228,77045802,77051809,77052383,77053676,77055328,77057339,77065302,77065543,77069461
Q14108	0	chr4	-	77079890	77134977	77082904,77084536,77087454,77089629,77091138,77095466,77097063,77097681,77100858,77102254,77117017	77084378,77087403,77089556,77091020,77095297,77096944,77097590,77100670,77102107,77116860,77134580
Q6ZV65	0	chr4	+	77172874	77204936	77172973,77177676,77184996,77189921,77192921,77199377,77201494	77177331,77184857,77189813,77192721,77199222,77201417,77204534
none	0	chr4	+	77172874	77232273	77172973,77177676,77184996,77189921,77192921,77199377	77177331,77184857,77189813,77192721,77199222,77230297
O95210	0	chr4	+	77227886	77232283	77228142	77230297
A0A804HIY6	0	chr4	-	77234192	77342294	77234399,77244562,77247168,77250120,77252556,77253644,77255320,77272274,77272965,77274434,77276589,77278679,77283468,77288929,77290776,77292689,77300557,77303873,77304891,77305568,77305818,77317639,77324433,77333285	77244455,77247010,77250053,77252497,77253585,77255163,77272149,77272873,77274276,77276477,77278527,77283279,77288447,77290579,77292570,77300443,77303763,77304815,77305241,77305709,77317422,77324291,77333243,77342118
Q8TF72	0	chr4	+	77356382	77704406	77357373,77476916,77631440,77652088,77663079,77670243,77676345,77678090,77680848,77692051	77476762,77631309,77651957,77659914,77670170,77675464,77677602,77680698,77691779,77699962
A6NEL2	0	chr4	-	77815305	77819297		
Q9NVA2	0	chr4	+	77870905	77959768	77871083,77917692,77926949,77933074,77936170,77940414,77941823,77949914,77952123	77917578,77926754,77932888,77936009,77940318,77941655,77949782,77951936,77955650
Q14094	0	chr4	-	77968308	77997142	77969815,77976533,77977255,77977476,77979788,77987558	77976303,77977115,77977402,77979660,77987402,77996625
Q16589	0	chr4	+	78078360	78091213	78078659,78079823,78080657,78082124,78082711,78082900,78085632	78079686,78080520,78081874,78082633,78082802,78085427,78086954
Q53X90	0	chr4	+	78526974	78532988	78527083,78528989,78531848	78528857,78531768,78532142
Q96LI5	0	chr4	-	78634541	78740522	78641797,78647523,78650235,78652692,78663449,78666029,78669538,78678105,78694320,78695870,78697546	78647321,78650008,78652541,78663295,78665872,78669470,78678016,78694235,78695684,78697425,78740458
Q9BYD6	0	chr4	+	78783984	78873939	78784033,78793009,78804654,78806493,78808445,78815404,78830526,78871032	78792898,78804396,78806410,78808374,78815293,78830420,78870951,78873643
Q86XX4	0	chr4	+	78978477	79465423	78979239,78987170,79158771,79166479,79173705,79176529,79186262,79188089,79188586,79199898,79202587,79204121,79205702,79207693,79229363,79236888,79238662,79240140,79254566,79258971,79284819,79285208,79291138,79294012,79295405,79297033,79301150,79305297,79308855,79322041,79328995,79334239,79340217,79343154,79345574,79350380,79351571,79353758,79359872,79360218,79362451,79366866,79368034,79369470,79371493,79373045,79373508,79385299,79385737,79387589,79391245,79393484,79394751,79396760,79399215,79400872,79403118,79403689,79410234,79418115,79421075,79428762,79430160,79432660,79434706,79437167,79440635,79442784,79443962,79447811,79455769,79458354,79460594	78987139,79158664,79166387,79173546,79176396,79186179,79187988,79188395,79199809,79202552,79203974,79205559,79207559,79229220,79236748,79238522,79239964,79254426,79258828,79284667,79285062,79290992,79293872,79295265,79296893,79300880,79305213,79308529,79321888,79328817,79334123,79340103,79343017,79345542,79350249,79351446,79353511,79359724,79360056,79362316,79366676,79367881,79369207,79371305,79372926,79373329,79385175,79385597,79387362,79391132,79393334,79394592,79396592,79398969,79400528,79402958,79403542,79410029,79417959,79420875,79428575,79429885,79432428,79434546,79436953,79440485,79442677,79443803,79447695,79455603,79458149,79460448,79461685
P12429	0	chr4	+	79472924	79531601	79473013,79475642,79494421,79500275,79503444,79507504,79512777,79516591,79517041,79518568,79522722,79525553	79475590,79494334,79500181,79503331,79507414,79512698,79516535,79516948,79518473,79522664,79525431,79531210
Q9NSY1	0	chr4	+	79697504	79837519	79697875,79747309,79754841,79763681,79766203,79768423,79772210,79780841,79782622,79786874,79792214,79793102,79793952,79800045,79808438	79747191,79754736,79763539,79766082,79768342,79772078,79780738,79782543,79786711,79791937,79793004,79793768,79799888,79808328,79831764
Q6TCH7	0	chr4	-	79833032	79860592	79841835,79845101,79847872,79851479,79856437	79845011,79847675,79851324,79856275,79860194
Q9BSU3	0	chr4	-	80237801	80247215	80238945	80246330
Q14410	0	chr4	-	80327515	80329382		
P58335	0	chr4	-	80822300	80994383	80828621,80898855,80899328,80905124,80906017,80929770,80940130,80952846,80954724,80957186,80975506,80976372,80976621,80977167,80990661,80992808	80898775,80899161,80905032,80905973,80929675,80940052,80952777,80954626,80957126,80975426,80976304,80976514,80977086,80990590,80992737,80993563
Q9NQV8	0	chr4	+	81118657	81125483	81118917,81121453,81122675	81121233,81122444,81123068
P12034	0	chr4	+	81187818	81212171	81188333,81196166	81196063,81207479
Q6V702	0	chr4	+	81256884	81884904	81257033,81284038,81504337,81791289,81866093	81283908,81504247,81791147,81865964,81884671
P12645	0	chr4	+	81951862	81978781	81952754,81967802	81966892,81974499
Q13237	0	chr4	-	82008529	82136376	82010957,82013606,82025586,82027089,82031765,82056450,82058636,82061823,82064101,82065484,82070106,82073208,82074875,82088378,82090922,82092958,82096113,82126214	82013540,82025524,82026967,82031602,82056309,82058547,82061687,82063948,82065386,82070038,82073114,82074798,82088315,82090817,82092845,82095947,82125741,82136090
